일차,아이콘번호,카테고리,장소명,영문명,주소,설명
3일차,3,맛집,Sandalford Wines,Sandalford Wines,"3210 West Swan Road, Caversham WA, Australia",와이너리 레스토랑 ⭐⭐⭐⭐
3일차,3,맛집,Swan Valley Chocolate Company,Swan Valley Chocolate Company,"5123 West Swan Road, West Swan WA, Australia",수제 초콜릿 ⭐⭐⭐⭐⭐
3일차,3,맛집,The Swan Valley Hotel,The Swan Valley Hotel,"10640 West Swan Road, Henley Brook WA, Australia",현지 요리

4일차,4,숙소,디 애드네이트 퍼스 아트 시리즈,The Adnate Perth - Art Series,"1/2 King Street, Perth WA, Australia",더블베드 2개
4일차,4,관광지,킹스 파크,Kings Park and Botanic Garden,"Fraser Avenue, Kings Park WA, Australia",도시 전망/식물원
4일차,4,맛집,Long Chim Perth,Long Chim Perth,"Shop 4, State Buildings, 1/2 Barrack Street, Perth WA, Australia",정통 태국 요리 ⭐⭐⭐⭐⭐
4일차,4,맛집,Petition Kitchen,Petition Kitchen,"State Buildings, 1/2 Barrack Street, Perth WA, Australia",모던 호주 요리 ⭐⭐⭐⭐

5일차,5,숙소,노보텔 퍼스 머레이 스트리트,Novotel Perth Murray Street,"388 Murray Street, Perth WA, Australia",더블베드 2개
5일차,5,관광지,프리맨틀 감옥,Fremantle Prison,"The Terrace, Fremantle WA, Australia",유네스코 세계문화유산
5일차,5,관광지,프리맨틀 마켓,Fremantle Markets,"South Terrace, Fremantle WA, Australia",수공예품 시장
5일차,5,맛집,Fisherman's Wharf,Fisherman's Wharf Fremantle,"43 Mews Road, Fremantle WA, Australia",피쉬 앤 칩스 ⭐⭐⭐⭐⭐
5일차,5,맛집,Little Creatures Brewery,Little Creatures Brewery,"40 Mews Road, Fremantle WA, Australia",로컬 브루어리 & 레스토랑 ⭐⭐⭐⭐
5일차,5,맛집,Moore & Moore Cafe,Moore & Moore Cafe,"46 Henry Street, Fremantle WA, Australia",빈티지 카페 & 브런치

6일차,6,숙소,포 포인트 바이 쉐라톤 퍼스,Four Points by Sheraton Perth,"707 Wellington Street, Perth WA, Australia",더블베드 2개 (2박)
6일차,6,관광지,퍼스 페리 터미널,Perth Ferry Terminal,"Barrack Square, Perth WA, Australia",로트네스트 섬 페리 출발지
6일차,6,관광지,로트네스트 섬,Rottnest Island,"Rottnest Island WA, Australia",쿼카 서식지
6일차,6,맛집,Thomsons Restaurant,Thomsons Restaurant,"Rottnest Island WA, Australia",섬 내 메인 레스토랑 ⭐⭐⭐⭐
6일차,6,맛집,Geordie Bay Cafe,Geordie Bay Cafe,"Rottnest Island WA, Australia",해변가 카페
6일차,6,맛집,Hotel Rottnest,Hotel Rottnest,"Rottnest Island WA, Australia",섬 내 숙박 시설 레스토랑

7일차,7,관광지,킹스 파크,Kings Park and Botanic Garden,"Fraser Avenue, Kings Park WA, Australia",재방문 - 쇼핑 전 마지막 관광
7일차,7,맛집,Fraser's Restaurant,Fraser's Restaurant,"Kings Park, Fraser Avenue, West Perth WA, Australia",킹스 파크 내 레스토랑
7일차,7,맛집,Print Hall,Print Hall,"125 St Georges Terrace, Perth WA, Australia",현대적 펍 & 레스토랑 ⭐⭐⭐⭐
7일차,7,맛집,The Classroom,The Classroom,"140 William Street, Perth WA, Australia",이탈리아 파스타 전문점 ⭐⭐⭐⭐

8일차,8,관광지,퍼스 공항,Perth Airport,"Perth Airport WA, Australia",출발지 
